Type,Square,Floor,Metro,Price
1.0,36.54,1,0.0,5172388.0
1.0,36.54,2,0.0,5278537.0
3.0,78.98,5,0.0,10585248.0
1.0,35.61,3,0.0,5187252.0
1.0,34.5,2,0.0,5260240.0
2.0,56.64,2,0.0,7818838.0
3.0,78.98,8,0.0,10585248.0
1.0,35.62,17,0.0,5241420.0
1.0,36.97,2,0.0,5325900.0
3.0,81.36,16,0.0,10769854.0
3.0,79.0,17,0.0,10585248.0
2.0,56.33,13,0.0,7910612.0
1.0,34.31,2,0.0,5067251.0
1.0,36.54,1,0.0,5172388.0
1.0,33.83,2,0.0,5002680.0
1.0,34.18,2,0.0,5047862.0
1.0,38.81,8,0.0,5611908.0
1.0,36.18,8,0.0,5283030.0
1.0,34.1,2,0.0,5035930.0
3.0,74.42,2,0.0,9978887.0
1.0,35.62,13,0.0,5241420.0
1.0,36.54,3,0.0,5278537.0
1.0,33.83,3,0.0,5009699.0
3.0,78.98,9,0.0,10585248.0
1.0,34.18,3,0.0,5047862.0
1.0,37.38,2,0.0,5548403.0
2.0,53.94,3,0.0,7575662.0
3.0,78.98,15,0.0,10585248.0
3.0,78.98,7,0.0,10585248.0
